10.12.1,,10.12.2,,10.11,,10.1,,10.9,
Baseline,Ligand,Baseline,Ligand,Baseline,Ligand,Baseline,Ligand,Baseline,Ligand
0.93441859,0.833152862,0.986961994,0.850746329,1.157881233,1.091690483,1.051481558,1.053732027,1.265049762,1.189932458
1.024335286,0.897052281,0.945524753,0.863814887,1.29799615,1.30271603,1.034575455,0.859353915,1.277079401,1.082847199
1.017266134,0.926384507,0.828912363,0.806501577,1.337343374,1.283263271,1.176521735,1.06742454,1.275768469,1.107392316
NaN,NaN,NaN,NaN,0.883453008,0.684686358,1.001916559,0.648861054,1.011306965,0.703793309
NaN,NaN,NaN,NaN,0.782890494,0.477999332,0.709266845,0.372622854,0.908620125,0.588881534
NaN,NaN,NaN,NaN,0.644168038,0.367966426,0.633575912,0.317568847,0.86101379,0.524503268
0.764801147,0.432173378,0.885536238,0.437973718,0.870345862,0.575354432,0.814333395,0.464067343,0.871171275,0.616138096
NaN,NaN,0.766111945,0.502693939,0.789216306,0.419938452,0.74242885,0.37433368,0.890537532,0.528199446
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.866317425,0.45178533,0.834974691,0.376293922,0.952131948,0.582085515
NaN,NaN,NaN,NaN,0.947645084,0.4708717,0.979157825,0.442547343,1.072121481,0.599619516
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.951351755,0.722392982,0.89157656,0.587050396,0.942457325,0.700226324
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.961693454,0.619967551
1.057860747,0.860169231,0.92985865,0.789383805,1.02411156,0.807397627,0.995012878,0.715847401,1.074136762,0.761650504
1.006269476,0.894970296,0.862282255,0.819496528,1.020654513,0.965294735,0.972015532,0.938396288,1.261142434,1.03688859
1.035010646,0.810484051,0.883015626,0.820728212,1.04293787,0.956597101,1.074162914,0.939714619,1.082387804,0.873599313
0.98349177,0.875169515,0.843936673,0.686135244,1.055362554,1.001520826,1.313932265,1.05868003,1.37295696,1.150189019
0.997793974,0.800989147,0.933716921,0.737623322,0.981518111,0.815444053,0.955886552,0.723803603,1.216511711,0.827926354
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.842321101,0.483901593
NaN,NaN,NaN,NaN,0.783181869,0.478635063,0.72397049,0.479544253,0.76377383,0.58505569
NaN,NaN,NaN,NaN,0.822155735,0.470243417,0.750204867,0.380113793,0.925934745,0.628502348
0.995629049,0.903408945,0.996481395,0.9340549,0.951347704,0.78629575,0.970771136,0.730925488,1.080987789,0.857858364
0.983090862,0.924095068,0.872388669,0.871633461,1.418388875,1.376319581,1.071857275,1.033041243,1.233111434,1.098444466
1.086109799,0.985153476,0.88752651,0.816562765,1.375143619,1.295807814,1.097762154,0.964605532,1.225425736,1.046176872
1.071482716,0.893398844,0.941511246,0.850662558,1.340297077,1.243732411,1.05584051,0.913629256,1.20165575,1.00778316
0.845136167,0.488998222,0.954970583,0.551700374,0.808024883,0.574341991,0.714392676,0.352158182,0.952783916,0.629838753
0.769015995,0.472735873,0.941329247,0.538153173,0.84009904,0.632048903,0.779158732,0.577312144,0.843695461,0.666824414
0.778109593,0.497121845,0.854629265,0.553865872,0.801468335,0.52852641,0.785042761,0.418368957,0.907082112,0.626314732
0.861502481,0.41591524,0.931190317,0.473303584,0.852725358,0.512699046,0.74965364,0.488720447,0.865629122,0.622072985
0.87354816,0.433224267,0.812837888,0.415537084,0.780703911,0.386072011,0.813083074,0.354091496,0.888529139,0.496035493
NaN,NaN,0.871365763,0.29933964,0.79457379,0.347583032,0.794972082,0.348859918,0.863103857,0.463151305
0.805785183,0.256646518,0.929162796,0.281259597,0.818896945,0.271160726,0.833870138,0.282662242,0.861617731,0.387162585
NaN,NaN,NaN,NaN,0.817646529,0.326427597,0.711471203,0.271610534,0.753904177,0.46406889
NaN,NaN,NaN,NaN,0.709613184,0.406409657,0.836906152,0.425516274,0.938607474,0.580406617
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.929571387,0.552565807
NaN,NaN,NaN,NaN,0.942203276,0.721454555,0.930939775,0.635403152,0.99672277,0.731228688
0.881118705,0.651326687,0.915602361,0.639220574,1.123850217,1.016469005,0.999788231,0.846628021,1.168619729,0.961972577
1.067497121,0.820121631,0.780167683,0.769834784,1.118919755,0.992578355,1.009657633,0.942326439,1.256122142,0.949704289
1.047505167,0.85853868,0.834815335,0.776943457,1.011919024,0.986072969,1.035648163,0.843232984,1.303451359,0.982390008
1.006177985,0.836042013,0.868703817,0.823906371,1.100483753,1.03080127,0.977812246,0.804842245,1.197225456,1.066855944
1.007308661,0.83770732,0.853783763,0.762184285,1.086282727,1.031131516,1.045895117,0.882436402,1.347943775,1.211390255
0.983535507,0.840727192,0.935731246,0.853700303,1.070618976,0.963077921,1.031216926,0.879190367,1.399425611,1.187068183
0.995220232,0.819721597,0.880499189,0.740837284,1.006854617,0.863869375,0.927208118,0.808782354,1.348103907,1.108282123
1.016152902,0.728214689,0.864768378,0.682969019,1.16565534,0.9462295,1.057162654,0.742106381,1.22986811,0.989752987
1.019899594,0.832761788,0.871603237,0.687182958,1.081328287,0.966214248,0.990913852,0.73429202,1.296680921,1.067182843
1.014127036,0.769279538,0.939111571,0.781929137,0.893559119,0.758124036,0.949394403,0.70201283,1.11865051,0.912894925
1.024956623,0.95996374,0.925980624,0.915518237,1.166603114,1.088275663,0.959794059,1.006311317,1.14695915,1.096675423
1.075116198,0.916664827,0.886143793,0.764596588,1.233396688,1.148405119,1.059448958,0.94698793,1.269420016,1.105303027
0.945251938,0.720561465,0.851316148,0.718645813,1.152301511,1.010481693,1.000768899,0.772286436,1.049837636,0.87461391
0.810860428,0.480313638,0.964710009,0.592536813,0.852085774,0.656264072,0.777736309,0.469123181,0.891016447,0.659896414
0.786269023,0.483542961,0.955572326,0.586220052,0.855041706,0.597355449,0.805371404,0.507832939,0.865332079,0.693236482
0.840760813,0.437177501,0.995476102,0.448234707,0.836018411,0.515854089,0.778920407,0.440509531,0.8716129,0.623714559
0.804303029,0.388931447,0.942451583,0.419134628,0.793067166,0.43558877,0.707682585,0.391829326,0.779026623,0.541243363
0.879332053,0.357775658,0.935612634,0.363610668,0.758777339,0.349577937,0.717369615,0.303352423,0.772767582,0.419288723
0.895477563,0.274671201,0.857468679,0.296134376,0.822965173,0.284094472,0.874535691,0.283264738,0.846639488,0.364364159
0.879394893,0.25569716,1.16129414,0.258165986,0.803878271,0.276225555,0.788796245,0.290109871,0.833281117,0.375259949
0.841269082,0.297468569,0.922419141,0.293664428,0.825260025,0.352286381,0.80818477,0.315310768,0.887244771,0.464544061
0.84937871,0.431911848,0.822107546,0.365572095,0.771479582,0.349802829,0.701337505,0.321843589,0.830579259,0.451753119
0.786636052,0.37571862,1.462670136,0.445542222,0.702935078,0.454752815,0.632854309,0.372597186,0.736310458,0.46607175
NaN,NaN,1.133413001,0.481555481,0.81248858,0.51062553,0.821190374,0.459939622,0.848537731,0.56192676
0.94625977,0.763402828,0.748197004,0.719958792,1.008009332,0.916479844,1.012032427,0.827257704,1.169239815,0.958529565
1.02979908,0.9054424,0.815532738,0.754510899,1.120953083,1.068529962,1.275165362,1.215489832,1.215072886,1.106014457
