Sodium_Baseline_GREEN,Sodium_MaxLigand_GREEN,Sodium_Baseline_GREEN,Sodium_MaxLigand_GREEN
0.203223861,0.203223861,0.403352635,0.139039638
0.125262329,0.125262329,0.439194,0.126338049
0.226242956,0.226242956,0.347918891,0.195809382
0.322556511,0.322556511,NaN,NaN
0.170471813,0.170471813,0.302473182,0.231381646
0.188925717,0.188925717,0.382132866,0.20240739
-0.057705206,-0.057705206,0.230397376,0.316086767
0.073104522,0.073104522,0.206026265,0.327510381
0.04526036,0.04526036,0.314569827,0.333063893
0.065417132,0.065417132,0.241757249,0.254191133
0.012217931,0.012217931,0.245917996,0.361756672
-0.014885975,-0.014885975,0.16569809,0.305454532
0.018569008,0.018569008,0.301097042,0.248283498
0.084859922,0.084859922,0.299378021,0.274778504
0.07921055,0.07921055,0.201121895,0.292680879
0.086740398,0.086740398,0.16567787,0.268973679
0.135831567,0.135831567,0.229263039,0.241674549
0.069497356,0.069497356,0.285798677,0.316964508
0.075300116,0.075300116,0.186267668,0.253113948
0.044455573,0.044455573,0.216834499,0.354510031
0.113689859,0.113689859,0.165681942,0.306657398
0.140372469,0.140372469,0.210842469,0.183010497
-0.020783213,-0.020783213,0.326022963,0.24619855
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0.17212044,0.17212044,NaN,NaN
-0.264408002,-0.264408002,NaN,NaN
NaN,NaN,NaN,NaN
-0.299627473,-0.299627473,NaN,NaN
0.249016333,0.249016333,0.403332695,0.081669929
0.257741474,0.257741474,0.306551694,0.215779501
0.339436752,0.339436752,0.436770003,0.176937181
0.189263836,0.189263836,0.435485342,0.212554122
0.104266664,0.104266664,0.270129944,0.236997537
0.079232942,0.079232942,0.209763556,0.308807585
0.046244521,0.046244521,0.327601076,0.34357365
0.02722766,0.02722766,0.174154854,0.357961234
0.032230669,0.032230669,0.091947234,0.320577906
0.018318163,0.018318163,0.136082273,0.363026475
0.020572568,0.020572568,0.12748513,0.373895694
0.049463839,0.049463839,0.177722536,0.312261784
0.04674276,0.04674276,0.200270494,0.283492037
0.081955571,0.081955571,0.189682215,0.306313192
0.030620488,0.030620488,0.179693182,0.377257025
0.036237714,0.036237714,0.148329827,0.40293788
0.048869125,0.048869125,0.115936002,0.407180244
-0.01376342,-0.01376342,0.143780259,0.313514844
0.020160809,0.020160809,0.158940084,0.365783823
0.013036306,0.013036306,0.13119421,0.378295453
0.176519742,0.176519742,0.239020074,0.25029575
0.114264609,0.114264609,0.263000278,0.238183262
0.030269782,0.030269782,0.303644577,0.204332726
0.166298809,0.166298809,0.294769412,0.271240846
0.284236997,0.284236997,0.305506833,0.298813287
-0.030636331,-0.030636331,NaN,NaN
0.150915436,0.150915436,0.34459552,0.219331713
-0.544664274,-0.544664274,NaN,NaN
0.288138877,0.288138877,0.350755754,0.169503382
0.40412114,0.40412114,0.433306778,0.169441646
0.19935944,0.19935944,0.292664489,0.29943025
0.318176626,0.318176626,0.42830652,0.176092017
0.046666344,0.046666344,0.160227055,0.292162755
0.07583555,0.07583555,0.214904449,0.304837743
0.059352992,0.059352992,0.144600299,0.298675222
0.036475975,0.036475975,0.147890265,0.254912607
0.046215018,0.046215018,0.107648189,0.236174436
0.036980082,0.036980082,0.146691223,0.2206004
0.032736203,0.032736203,0.11902882,0.29178895
0.017840966,0.017840966,0.138042666,0.3378574
0.068299257,0.068299257,0.154469934,0.365413247
0.051138447,0.051138447,0.117742871,0.309571955
0.034135469,0.034135469,0.11464668,0.279586382
0.032827358,0.032827358,0.150072489,0.2788927
0.028373167,0.028373167,0.142017755,0.255233856
0.003307339,0.003307339,0.15000108,0.252000539
0.030966444,0.030966444,0.138705274,0.299162643
0.018539954,0.018539954,0.189456912,0.349753688
0.105050532,0.105050532,0.231748374,0.377509944
0.09630052,0.09630052,0.255171599,0.277769953
0.153935005,0.153935005,0.310273279,0.239728764
0.183739664,0.183739664,0.254546878,0.292471318
0.248467195,0.248467195,0.347345021,0.252871266
0.259437576,0.259437576,0.37970713,0.196638201
0.182207467,0.182207467,0.335756291,0.206214605
0.255726077,0.255726077,0.375715404,0.251044719
0.170587488,0.170587488,0.324202967,0.294600198
0.148675725,0.148675725,0.236399944,0.299612114
0.160810931,0.160810931,0.290940134,0.21567097
0.011074006,0.011074006,0.128275812,0.299144956
0.056877527,0.056877527,0.135940488,0.290267564
0.025752553,0.025752553,0.185960345,0.206473404
0.016025632,0.016025632,0.104575133,0.23224523
0.050082891,0.050082891,0.151932773,0.180399318
0.002122547,0.002122547,0.119305552,0.269362923
0.059282604,0.059282604,0.168409776,0.264023459
0.03141691,0.03141691,0.181510202,0.286958741
0.028699689,0.028699689,0.133351561,0.318383087
0.021532873,0.021532873,0.116473044,0.309744839
0.048758489,0.048758489,0.157954488,0.245556714
0.016567991,0.016567991,0.119571957,0.269786707
0.039215995,0.039215995,0.131800562,0.210763578
