Hyb_Signal_GREEN,Assay_Signal_GREEN_maxLigand,Assay_Signal_GREEN_almostMaxLigand,Assay_Signal_RED_maxLigand,Assay_Signal_RED_almostMaxLigand
6158.824337,2416.833333,2907.5,1952,509.8333333
2052.539812,771,950.1666667,1666.4,271.1666667
9641.918561,3824.833333,4821.666667,1907,619.5
1264.552478,319.1666667,275.1666667,1607.666667,288.1666667
5992.001736,2388.166667,3219.166667,2132.166667,346.4
3400.809541,1178.166667,1729.5,1508,245.8333333
7471.46512,2643.166667,3870,1457.833333,249.1666667
8169.663471,2657.5,3842.833333,1530,303.1666667
13982.86119,4313.333333,7703.666667,1459.166667,252.8333333
8879.519681,3284,4557.333333,1470.5,294.6666667
14711.6791,5587.666667,8733.666667,1719.333333,357.3333333
10389.7833,5056.166667,6417,1825,308.3333333
3474.888455,1398.666667,1824.166667,1345.666667,309.5
3941.896662,1490,2194,1600,275.8333333
7872.005208,3915.833333,4914.166667,1888.8,346.6666667
11214.75256,4778.166667,6719,2598.833333,364.6666667
7933.724314,2976.5,4696,2037.833333,381.1666667
13851.83061,4957.666667,8203.833333,1598.833333,286.8
9027.432962,3876.666667,5273.666667,1573.666667,285
14800.212,6129.833333,9541.333333,1847.166667,342
11201.73868,4147.5,6210.833333,2216.166667,289.5
1027.508602,310.3333333,496.8333333,1293.666667,328
1568.5756,562.8333333,718,1526.833333,276.1666667
338.146149,101.5,153.6666667,1376.166667,307
333.5557528,92.16666667,160,1341.333333,402
953.0269492,316,414,1663.4,346.1666667
784.3972538,275.1666667,392.3333333,1637.666667,266.4
331.3799321,115.5,171,1483.333333,269.3333333
744.8276121,286.6666667,405.3333333,1252.2,245.8333333
8421.302833,3632,3894.166667,2492.166667,611.5
11474.1424,5145.166667,6258.666667,2548.833333,839.6
15019.65755,5414.166667,6347.833333,2988.5,968.8333333
8315.08503,2714.833333,3135.833333,1713,342.5
15290.24238,7294.5,9171.166667,3076.2,403.8333333
13616.0365,5947.666667,8215.333333,2247.666667,351.8333333
14889.96398,5472.5,8524.833333,1564.6,357.1666667
19206.08022,10560,13972.16667,1535.333333,239.8333333
22928.32998,15717.33333,17707,1774.5,452.8333333
21310.83227,13017.5,15786.66667,1793.833333,310
22463.779,12880,17019.83333,1837.666667,284.3333333
16051.02932,7815.166667,11231.83333,2706.2,406.6666667
8174.746859,4060.5,5008.333333,1586.666667,242.3333333
12101.98729,5119,6484.333333,1918.833333,373.6666667
21152.65088,10881.66667,15346,2177.6,373.1666667
20597.41888,10605.83333,15040.33333,2354.833333,341.3333333
19330.24349,10319.83333,14076.83333,1737.5,298.3333333
23574.16631,15454.16667,17835.5,1634.5,363.3333333
20216.81877,11953.5,15474,1916.4,351.1666667
22808.53961,13341.83333,16848.66667,1788.833333,433.1666667
11126.802,4022.5,6212.666667,1911,382.4
4657.235559,1677.5,2159.166667,1570,301.1666667
1619.164733,519.8333333,746,1364.4,304.3333333
3510.797625,1287,1661,1672.666667,331.8333333
6195.352904,1964.833333,2513.666667,2139.5,291
1694.874527,577.6666667,802.8333333,1624.166667,307.1666667
4215.336253,1527.833333,1925.333333,1930.6,313.8333333
733.3828519,250.8333333,362.6666667,1421.166667,274
21690.99317,9686.5,10306.5,6430.5,3166
17273.10685,6722.833333,7513,4432.6,1375.333333
24207.11912,11343.16667,14301.66667,2939,614.6666667
19017.04545,8400.5,8845.833333,2324.4,286.6666667
25233.27281,16750.5,18807.83333,4204.833333,483
21583.78772,11192.83333,14173.5,2095.8,334.5
23644.2208,15948.33333,18289.16667,1519.75,379.4
27599.4081,19597.66667,22765.83333,1660.666667,378.6666667
29533.69018,22615,23937,2031,318.6
27555.26121,20025.16667,22046.83333,1630.5,356.8
26918.53168,18941.66667,21848.83333,1815.5,397.8333333
23507.62666,14395.5,18194,2459.666667,343.8333333
23492.2066,12667.66667,17051.83333,1756.5,451.8333333
27642.25915,18537.16667,21544.5,1908.166667,354
27619.61533,18974.66667,22119,2165.666667,377.8333333
27351.55911,19249.33333,20145.5,2161.166667,400.8333333
27985.07493,20137.66667,22708.66667,1648,372.5
30222.71528,23115.83333,25262.5,1590.5,338
26007.355,17722.83333,20528.5,1704.25,464.8333333
22318.28555,12157.16667,16428,1729.25,406.6666667
19522.75162,8223.333333,11473.33333,2335.5,414.2
4880.921086,1931.333333,2554.166667,1474.333333,247.8333333
6049.79869,2550.833333,3206.5,2008.166667,355.1666667
13806.10922,5756.666667,7189.666667,2634.333333,458.4
8565.617266,3069.166667,4064.666667,2083.8,339.1666667
7260.751657,2468.166667,3200.5,1958.4,403.3333333
7109.637626,2790,3278.333333,2033.833333,288.8333333
26768.37816,12274.33333,13738,11058.33333,5442.666667
26134.24156,13218.66667,15285,3360.666667,664.6666667
30400.87283,18128.5,20240.83333,2370.5,406.8333333
29001.50205,16996,19139.66667,2249.4,302.6666667
29599.93947,20956.66667,23696,3666.2,479.1666667
27207.74929,19053.16667,21528.83333,2175,381.8333333
29451.68131,22047.66667,23785.16667,1696,384
30277.57745,23804.66667,25508.33333,1849.666667,318.3333333
31915.20431,25721.33333,26808,1434,371.1666667
28318.17515,21084,23070.83333,1613.166667,372.3333333
28948.38597,20066.5,23138.33333,1871.5,328.5
29932.0404,20636.33333,22474.16667,2415.166667,442.5
28581.51476,18844,22586.66667,2057.833333,316.4
29584.85184,20140.66667,24039.66667,2090.333333,415
30764.36975,22762.83333,25606,1815.333333,334.3333333
